"NOC","Year","Season","Medal","Count"
"DEN",1896,"Summer","Gold",1
"FIN",1896,"Summer","Gold",0
"NOR",1896,"Summer","Gold",0
"NED",1896,"Summer","Gold",0
"FRA",1896,"Summer","Gold",5
"ITA",1896,"Summer","Gold",0
"ESP",1896,"Summer","Gold",0
"RUS",1896,"Summer","Gold",0
"USA",1896,"Summer","Gold",11
"HUN",1896,"Summer","Gold",2
"AUS",1896,"Summer","Gold",2
"CAN",1896,"Summer","Gold",0
"URS",1896,"Summer","Gold",0
"JPN",1896,"Summer","Gold",0
"SUI",1896,"Summer","Gold",1
"GDR",1896,"Summer","Gold",0
"SWE",1896,"Summer","Gold",0
"GBR",1896,"Summer","Gold",3
"ROU",1896,"Summer","Gold",0
"GER",1896,"Summer","Gold",25
"POL",1896,"Summer","Gold",0
"TCH",1896,"Summer","Gold",0
"FRG",1896,"Summer","Gold",0
"KOR",1896,"Summer","Gold",0
"CHN",1896,"Summer","Gold",0
"DEN",1900,"Summer","Gold",4
"FIN",1900,"Summer","Gold",0
"NOR",1900,"Summer","Gold",0
"NED",1900,"Summer","Gold",3
"FRA",1900,"Summer","Gold",52
"ITA",1900,"Summer","Gold",3
"ESP",1900,"Summer","Gold",2
"RUS",1900,"Summer","Gold",0
"USA",1900,"Summer","Gold",30
"HUN",1900,"Summer","Gold",1
"AUS",1900,"Summer","Gold",3
"CAN",1900,"Summer","Gold",1
"URS",1900,"Summer","Gold",0
"JPN",1900,"Summer","Gold",0
"SUI",1900,"Summer","Gold",16
"GDR",1900,"Summer","Gold",0
"SWE",1900,"Summer","Gold",3
"GBR",1900,"Summer","Gold",59
"ROU",1900,"Summer","Gold",0
"GER",1900,"Summer","Gold",14
"POL",1900,"Summer","Gold",0
"TCH",1900,"Summer","Gold",0
"FRG",1900,"Summer","Gold",0
"KOR",1900,"Summer","Gold",0
"CHN",1900,"Summer","Gold",0
"DEN",1904,"Summer","Gold",0
"FIN",1904,"Summer","Gold",0
"NOR",1904,"Summer","Gold",2
"NED",1904,"Summer","Gold",0
"FRA",1904,"Summer","Gold",0
"ITA",1904,"Summer","Gold",0
"ESP",1904,"Summer","Gold",0
"RUS",1904,"Summer","Gold",0
"USA",1904,"Summer","Gold",128
"HUN",1904,"Summer","Gold",2
"AUS",1904,"Summer","Gold",0
"CAN",1904,"Summer","Gold",27
"URS",1904,"Summer","Gold",0
"JPN",1904,"Summer","Gold",0
"SUI",1904,"Summer","Gold",1
"GDR",1904,"Summer","Gold",0
"SWE",1904,"Summer","Gold",0
"GBR",1904,"Summer","Gold",1
"ROU",1904,"Summer","Gold",0
"GER",1904,"Summer","Gold",4
"POL",1904,"Summer","Gold",0
"TCH",1904,"Summer","Gold",0
"FRG",1904,"Summer","Gold",0
"KOR",1904,"Summer","Gold",0
"CHN",1904,"Summer","Gold",0
"DEN",1908,"Summer","Gold",0
"FIN",1908,"Summer","Gold",1
"NOR",1908,"Summer","Gold",7
"NED",1908,"Summer","Gold",0
"FRA",1908,"Summer","Gold",12
"ITA",1908,"Summer","Gold",2
"ESP",1908,"Summer","Gold",0
"RUS",1908,"Summer","Gold",1
"USA",1908,"Summer","Gold",34
"HUN",1908,"Summer","Gold",7
"AUS",1908,"Summer","Gold",0
"CAN",1908,"Summer","Gold",14
"URS",1908,"Summer","Gold",0
"JPN",1908,"Summer","Gold",0
"SUI",1908,"Summer","Gold",0
"GDR",1908,"Summer","Gold",0
"SWE",1908,"Summer","Gold",48
"GBR",1908,"Summer","Gold",147
"ROU",1908,"Summer","Gold",0
"GER",1908,"Summer","Gold",4
"POL",1908,"Summer","Gold",0
"TCH",1908,"Summer","Gold",0
"FRG",1908,"Summer","Gold",0
"KOR",1908,"Summer","Gold",0
"CHN",1908,"Summer","Gold",0
"DEN",1912,"Summer","Gold",5
"FIN",1912,"Summer","Gold",9
"NOR",1912,"Summer","Gold",40
"NED",1912,"Summer","Gold",0
"FRA",1912,"Summer","Gold",10
"ITA",1912,"Summer","Gold",22
"ESP",1912,"Summer","Gold",0
"RUS",1912,"Summer","Gold",0
"USA",1912,"Summer","Gold",46
"HUN",1912,"Summer","Gold",10
"AUS",1912,"Summer","Gold",0
"CAN",1912,"Summer","Gold",3
"URS",1912,"Summer","Gold",0
"JPN",1912,"Summer","Gold",0
"SUI",1912,"Summer","Gold",2
"GDR",1912,"Summer","Gold",0
"SWE",1912,"Summer","Gold",103
"GBR",1912,"Summer","Gold",47
"ROU",1912,"Summer","Gold",0
"GER",1912,"Summer","Gold",11
"POL",1912,"Summer","Gold",0
"TCH",1912,"Summer","Gold",0
"FRG",1912,"Summer","Gold",0
"KOR",1912,"Summer","Gold",0
"CHN",1912,"Summer","Gold",0
"DEN",1916,"Summer","Gold",0
"FIN",1916,"Summer","Gold",0
"NOR",1916,"Summer","Gold",0
"NED",1916,"Summer","Gold",0
"FRA",1916,"Summer","Gold",0
"ITA",1916,"Summer","Gold",0
"ESP",1916,"Summer","Gold",0
"RUS",1916,"Summer","Gold",0
"USA",1916,"Summer","Gold",0
"HUN",1916,"Summer","Gold",0
"AUS",1916,"Summer","Gold",0
"CAN",1916,"Summer","Gold",0
"URS",1916,"Summer","Gold",0
"JPN",1916,"Summer","Gold",0
"SUI",1916,"Summer","Gold",0
"GDR",1916,"Summer","Gold",0
"SWE",1916,"Summer","Gold",0
"GBR",1916,"Summer","Gold",0
"ROU",1916,"Summer","Gold",0
"GER",1916,"Summer","Gold",0
"POL",1916,"Summer","Gold",0
"TCH",1916,"Summer","Gold",0
"FRG",1916,"Summer","Gold",0
"KOR",1916,"Summer","Gold",0
"CHN",1916,"Summer","Gold",0
"DEN",1920,"Summer","Gold",26
"FIN",1920,"Summer","Gold",21
"NOR",1920,"Summer","Gold",58
"NED",1920,"Summer","Gold",15
"FRA",1920,"Summer","Gold",13
"ITA",1920,"Summer","Gold",67
